Nx,Ny,psf 
1,1,10.36008684
1,2,6.48497519
1,3,7.67679535
1,4,14.28412519
1,5,23.74089666
1,6,32.67359255
1,7,38.87002839
1,8,41.95251096
1,9,42.86115282
1,10,42.89045864
1,11,42.89051312
1,12,42.86091836
1,13,41.95096755
1,14,38.86606694
1,15,32.66683932
1,16,23.73246968
1,17,14.27665413
1,18,7.67320495
1,19,6.48645779
1,20,10.36477468
2,1,8.22905965
2,2,10.79052674
2,3,20.62669336
2,4,33.73817527
2,5,44.63566563
2,6,49.85616755
2,7,49.28048501
2,8,45.18072327
2,9,40.48642314
2,10,37.53004482
2,11,37.53141723
2,12,40.49000782
2,13,45.18494493
2,14,49.28293716
2,15,49.85435458
2,16,44.62841034
2,17,33.72702792
2,18,20.61592898
2,19,10.78485175
2,20,8.23018867
3,1,12.57830695
3,2,24.32160943
3,3,40.77041912
3,4,53.76235039
3,5,57.65777594
3,6,52.25437674
3,7,41.37598210
3,8,29.65735499
3,9,20.44078358
3,10,15.48738562
3,11,15.48958108
3,12,20.44709675
3,13,29.66680019
3,14,41.38639765
3,15,52.26214287
3,16,57.65877818
3,17,53.75458008
3,18,40.75648978
3,19,24.30826101
3,20,12.57203157
4,1,24.41373172
4,2,43.72094850
4,3,60.49494025
4,4,65.57504753
4,5,57.60895618
4,6,42.26020647
4,7,26.54729721
4,8,14.43135048
4,9,6.65987959
4,10,2.86945067
4,11,2.87108978
4,12,6.66484749
4,13,14.43994943
4,14,26.55966629
4,15,42.27454886
4,16,57.62017193
4,17,65.57673689
4,18,60.48459889
4,19,43.70359405
4,20,24.39923407
5,1,41.34520382
5,2,63.45342597
5,3,74.05677868
5,4,68.03548834
5,5,52.14070514
5,6,37.52504369
5,7,30.10849684
5,8,28.23962009
5,9,27.81049713
5,10,27.26108196
5,11,27.26143607
5,12,27.81094295
5,13,28.24013257
5,14,30.11191146
5,15,37.53484327
5,16,52.15539382
5,17,68.04661474
5,18,74.05498801
5,19,63.43759209
5,20,41.32482139
6,1,59.64766738
6,2,79.63365091
6,3,81.37974924
6,4,68.55159487
6,5,57.15718895
6,6,59.79700425
6,7,74.50074090
6,8,89.28064472
6,9,95.77481400
6,10,96.03723634
6,11,96.03775402
6,12,95.77279674
6,13,89.27096393
6,14,74.48608278
6,15,59.78811281
6,16,57.16187647
6,17,68.56468298
6,18,81.38634034
6,19,79.62342354
6,20,59.62517290
7,1,76.48999172
7,2,91.81422209
7,3,87.11250459
7,4,77.48610309
7,5,86.39601799
7,6,121.84890476
7,7,167.32008482
7,8,197.80012786
7,9,204.01605604
7,10,198.68838770
7,11,198.69232617
