Nx,Ny,psf 
1,1,6.16997785
1,2,6.29884400
1,3,12.58205789
1,4,23.39810644
1,5,34.81227007
1,6,43.33595864
1,7,47.69337506
1,8,48.72357097
1,9,48.16006909
1,10,47.49477665
1,11,47.49511992
1,12,48.16077050
1,13,48.72362514
1,14,47.69126206
1,15,43.33036178
1,16,34.80324717
1,17,23.38784425
1,18,12.57415883
1,19,6.29609963
1,20,6.17216233
2,1,6.09991219
2,2,13.58888269
2,3,26.80723454
2,4,39.81764535
2,5,47.23587070
2,6,47.61851962
2,7,43.37346413
2,8,38.14893860
2,9,34.36120383
2,10,32.59569603
2,11,32.59642386
2,12,34.36359830
2,13,38.15305471
2,14,43.37806140
2,15,47.62072258
2,16,47.23260612
2,17,39.80823083
2,18,26.79489272
2,19,13.57921218
2,20,6.09690261
3,1,12.24589873
3,2,26.74995338
3,3,41.31147622
3,4,47.80797918
3,5,44.08462759
3,6,35.01283504
3,7,27.90539478
3,8,26.84253376
3,9,30.47269008
3,10,34.17803112
3,11,34.17610046
3,12,30.46877999
3,13,26.84087788
3,14,27.90913330
3,15,35.02081548
3,16,44.09124457
3,17,47.80703754
3,18,41.30145912
3,19,26.73596898
3,20,12.23591651
4,1,23.14042507
4,2,39.87112136
4,3,47.77859353
4,4,42.07607632
4,5,29.85150982
4,6,24.85067680
4,7,36.69737250
4,8,63.74119995
4,9,94.37354421
4,10,114.32561134
4,11,114.31621399
4,12,94.34969642
4,13,63.71404658
4,14,36.67938116
4,15,24.84837870
4,16,29.86099262
4,17,42.08564953
4,18,47.77779898
4,19,39.85895792
4,20,23.12538174
5,1,34.80079293
5,2,47.26996019
5,3,43.49910776
5,4,28.95729946
5,5,24.26893685
5,6,50.38751213
5,7,112.31939681
5,8,194.67210196
5,9,270.67975552
5,10,315.60236791
5,11,315.58183294
5,12,270.62430913
5,13,194.59928446
5,14,112.25333425
5,15,50.34845753
5,16,24.26188151
5,17,28.96921058
5,18,43.50921184
5,19,47.26559175
5,20,34.78522556
6,1,43.50883862
6,2,47.11818743
6,3,32.97741252
6,4,22.12634035
6,5,48.84871632
6,6,134.99461599
6,7,271.69720044
6,8,423.52857674
6,9,548.94921936
6,10,618.27738034
6,11,618.24641213
6,12,548.86162226
6,13,423.40274070
6,14,271.56573190
6,15,134.89424868
6,16,48.80092768
6,17,22.12431116
6,18,32.99290907
6,19,47.12401378
6,20,43.49738653
7,1,47.77336559
7,2,41.70805862
7,3,23.76871953
7,4,32.11262882
7,5,110.52858784
7,6,273.19773923
7,7,489.46666193
7,8,702.17832874
7,9,861.40274690
7,10,943.27737245
7,11,943.24180091
7,12,861.29650162
7,13,702.01139965
7,14,489.27179933
7,15,273.02598800
7,16,110.42272775
7,17,32.08010482
7,18,23.77987113
7,19,41.72214748
7,20,47.76864206
8,1,48.41251919
8,2,34.96823847
8,3,20.64010376
8,4,58.35081974
8,5,195.39660237
8,6,431.61502860
8,7,711.45617615
8,8,959.27308474
8,9,1125.67417298
8,10,1203.23635749
8,11,1203.20407489
8,12,1125.56958336
8,13,959.08937140
8,14,711.21700028
8,15,431.38009281
8,16,195.23012051
8,17,58.27933756
8,18,20.63862872
8,19,34.98635099
8,20,48.41454164
9,1,47.34927035
9,2,29.80825230
9,3,22.82239583
9,4,89.40009789
9,5,275.87631071
9,6,566.62183698
9,7,884.52776283
9,8,1141.57097639
9,9,1294.83582462
9,10,1357.14615817
9,11,1357.12201242
9,12,1294.74682869
9,13,1141.39126252
9,14,884.26753145
9,15,566.34380710
9,16,275.66162375
9,17,89.29338530
9,18,22.80612696
9,19,29.82679756
9,20,47.35625338
10,1,46.34291016
10,2,27.24492392
10,3,25.85087873
10,4,110.06812277
10,5,324.33764003
10,6,643.07990770
10,7,976.74530692
10,8,1231.43299767
10,9,1370.09748427
10,10,1419.42102130
10,11,1419.40349459
10,12,1370.02262867
10,13,1231.26231074
10,14,976.47921714
10,15,642.78130196
10,16,324.09686746
10,17,109.94077556
10,18,25.82487802
10,19,27.26269984
10,20,46.35239704
11,1,46.34341620
11,2,27.24601400
11,3,25.84922809
11,4,110.05832007
11,5,324.31533707
11,6,643.04543437
11,7,976.70464781
11,8,1231.39461444
11,9,1370.06683902
11,10,1419.39693628
11,11,1419.37940626
11,12,1369.99197620
11,13,1231.22392236
11,14,976.43855970
11,15,642.74683730
11,16,324.07457609
11,17,109.93098226
11,18,25.82323197
