Nx,Ny,psf 
1,1,0.25335668
1,2,0.29626560
1,3,1.62325816
1,4,3.75979549
1,5,5.81257384
1,6,7.08518997
1,7,7.41724065
1,8,7.10343780
1,9,6.59480267
1,10,6.25120821
1,11,6.25136990
1,12,6.59521213
1,13,7.10385821
1,14,7.41729566
1,15,7.08451025
1,16,5.81106498
1,17,3.75784610
1,18,1.62163788
1,19,0.29565853
1,20,0.25383590
2,1,0.29626560
2,2,1.87016516
2,3,4.41659018
2,4,6.59160845
2,5,7.34322986
2,6,6.56158356
2,7,4.93438114
2,8,3.31537640
2,9,2.20884670
2,10,1.69756511
2,11,1.69777658
2,12,2.20953959
2,13,3.31659752
2,14,4.93589736
2,15,6.56276033
2,16,7.34329907
2,17,6.59024614
2,18,4.41433829
2,19,1.86820775
2,20,0.29558967
3,1,1.62325816
3,2,4.41659018
3,3,6.79059728
3,4,7.15438701
3,5,5.36992020
3,6,2.74273446
3,7,0.88194872
3,8,0.52883421
3,9,1.25024720
3,10,2.00832970
3,11,2.00793438
3,12,1.24944960
3,13,0.52854348
3,14,0.88292595
3,15,2.74487713
3,16,5.37208674
3,17,7.15510918
3,18,6.78926121
3,19,4.41405517
3,20,1.62122353
4,1,3.75979549
4,2,6.59160845
4,3,7.15438701
4,4,4.87865707
4,5,1.68938292
4,6,0.52626715
4,7,3.04797842
4,8,8.50250900
4,9,14.41547849
4,10,18.15457663
4,11,18.15283405
4,12,14.41096038
4,13,8.49716002
4,14,3.04424268
4,15,0.52574887
4,16,1.69166504
4,17,4.88144887
4,18,7.15524112
4,19,6.58987003
4,20,3.75699122
5,1,5.81257384
5,2,7.34322986
5,3,5.36992020
5,4,1.68938292
5,5,0.76450145
5,6,6.24654615
5,7,18.04242978
5,8,32.44384177
5,9,44.72935011
5,10,51.56966863
5,11,51.56661237
5,12,44.72071625
5,13,32.43163071
5,14,18.03036051
5,15,6.23872101
5,16,0.76283123
5,17,1.69208551
5,18,5.37290378
5,19,7.34339643
5,20,5.81003649
6,1,7.08518997
6,2,6.56158356
6,3,2.74273446
6,4,0.52626715
6,5,6.24654615
6,6,22.25715586
6,7,44.57170740
6,8,65.83448802
6,9,80.54324565
6,10,87.43433100
6,11,87.43146812
6,12,80.53394979
6,13,65.81838653
6,14,44.55172575
6,15,22.23955167
6,16,6.23698825
6,17,0.52552082
6,18,2.74632471
6,19,6.56385927
6,20,7.08382694
7,1,7.41724065
7,2,4.93438114
7,3,0.88194872
7,4,3.04797842
7,5,18.04242978
7,6,44.57170740
7,7,73.14159985
7,8,93.26827001
7,9,101.54544917
7,10,102.67941137
7,11,102.67949107
7,12,101.54240284
7,13,93.25614090
7,14,73.11928859
7,15,44.54606889
7,16,18.02351038
7,17,3.04105530
7,18,0.88404763
7,19,4.93808981
7,20,7.41743811
8,1,7.10343780
8,2,3.31537640
8,3,0.52883421
8,4,8.50250900
8,5,32.44384177
8,6,65.83448802
8,7,93.26827001
8,8,102.50585635
8,9,95.07074669
8,10,84.78511331
8,11,84.79075774
8,12,95.08085107
8,13,102.50643512
8,14,93.25139719
8,15,65.80567376
8,16,32.41711724
8,17,8.48866431
8,18,0.52796796
8,19,3.31952462
8,20,7.10504307
9,1,6.59480267
9,2,2.20884670
9,3,1.25024720
9,4,14.41547849
9,5,44.72935011
9,6,80.54324565
9,7,101.54544917
9,8,95.07074669
9,9,68.51734284
9,10,45.12992312
9,11,45.14185215
9,12,68.54281258
9,13,95.08769409
9,14,101.53858781
9,15,80.51567197
9,16,44.69795276
9,17,14.39603477
9,18,1.24628479
9,19,2.21274960
9,20,6.59736444
10,1,6.25120821
10,2,1.69756511
10,3,2.00832970
10,4,18.15457663
10,5,51.56966863
10,6,87.43433100
10,7,102.67941137
10,8,84.78511331
10,9,45.12992312
10,10,12.97198166
10,11,12.98809003
10,12,45.16575564
10,13,84.81351692
10,14,102.68031248
10,15,87.40898069
10,16,51.53639623
10,17,18.13211317
10,18,2.00244582
10,19,1.70112886
10,20,6.25422560
11,1,6.25136990
11,2,1.69777658
11,3,2.00793438
11,4,18.15283405
11,5,51.56661237
11,6,87.43146812
11,7,102.67949107
11,8,84.79075774
11,9,45.14185215
11,10,12.98809003
11,11,13.00419641
11,12,45.17767972
11,13,84.81915582
11,14,102.68038835
11,15,87.40611657
11,16,51.53334069
11,17,18.13037192
11,18,2.00205140
11,19,1.70134051
11,20,6.25438709
12,1,6.59521213
12,2,2.20953959
12,3,1.24944960
12,4,14.41096038
12,5,44.72071625
12,6,80.53394979
12,7,101.54240284
12,8,95.08085107
12,9,68.54281258
12,10,45.16575564
12,11,45.17767972
12,12,68.56827012
12,13,95.09778513
12,14,101.53553271
12,15,80.50637402
12,16,44.68932160
12,17,14.39152052
12,18,1.24548953
12,19,2.21344283
12,20,6.59777330
13,1,7.10385821
13,2,3.31659752
13,3,0.52854348
13,4,8.49716002
13,5,32.43163071
13,6,65.81838653
13,7,93.25614090
