Nx,Ny,psf 
1,1,198.25335668
1,2,201.29626560
1,3,202.62325816
1,4,195.75979549
1,5,223.81257384
1,6,189.08518997
1,7,217.41724065
1,8,213.10343780
1,9,220.59480267
1,10,243.25120821
1,11,193.25136990
1,12,203.59521213
1,13,211.10385821
1,14,218.41729566
1,15,202.08451025
1,16,211.81106498
1,17,205.75784610
1,18,231.62163788
1,19,212.29565853
1,20,187.25383590
2,1,198.29626560
2,2,185.87016516
2,3,207.41659018
2,4,197.59160845
2,5,205.34322986
2,6,197.56158356
2,7,183.93438114
2,8,214.31537640
2,9,205.20884670
2,10,228.69756511
2,11,201.69777658
2,12,180.20953959
2,13,194.31659752
2,14,199.93589736
2,15,221.56276033
2,16,207.34329907
2,17,221.59024614
2,18,169.41433829
2,19,199.86820775
2,20,187.29558967
3,1,195.62325816
3,2,175.41659018
3,3,215.79059728
3,4,186.15438701
3,5,203.36992020
3,6,197.74273446
3,7,218.88194872
3,8,194.52883421
3,9,226.25024720
3,10,202.00832970
3,11,192.00793438
3,12,208.24944960
3,13,192.52854348
3,14,183.88292595
3,15,213.74487713
3,16,194.37208674
3,17,205.15510918
3,18,202.78926121
3,19,205.41405517
3,20,223.62122353
4,1,205.75979549
4,2,199.59160845
4,3,204.15438701
4,4,197.87865707
4,5,216.68938292
4,6,186.52626715
4,7,192.04797842
4,8,197.50250900
4,9,221.41547849
4,10,226.15457663
4,11,243.15283405
4,12,228.41096038
4,13,204.49716002
4,14,231.04424268
4,15,213.52574887
4,16,230.69166504
4,17,190.88144887
4,18,232.15524112
4,19,202.58987003
4,20,209.75699122
5,1,222.81257384
5,2,229.34322986
5,3,188.36992020
5,4,202.68938292
5,5,183.76450145
5,6,236.24654615
5,7,253.04242978
5,8,215.44384177
5,9,242.72935011
5,10,246.56966863
5,11,255.56661237
5,12,238.72071625
5,13,230.43163071
5,14,212.03036051
5,15,195.23872101
5,16,231.76283123
5,17,196.69208551
5,18,208.37290378
5,19,218.34339643
5,20,188.81003649
6,1,209.08518997
6,2,221.56158356
6,3,176.74273446
6,4,185.52626715
6,5,204.24654615
6,6,242.25715586
6,7,216.57170740
6,8,294.83448802
6,9,270.54324565
6,10,263.43433100
6,11,275.43146812
6,12,252.53394979
6,13,254.81838653
6,14,227.55172575
6,15,216.23955167
6,16,224.23698825
6,17,181.52552082
6,18,166.74632471
6,19,201.56385927
6,20,205.08382694
7,1,183.41724065
7,2,191.93438114
7,3,216.88194872
7,4,213.04797842
7,5,222.04242978
7,6,256.57170740
7,7,257.14159985
7,8,300.26827001
7,9,313.54544917
7,10,324.67941137
7,11,301.67949107
7,12,310.54240284
7,13,263.25614090
7,14,285.11928859
7,15,229.54606889
7,16,232.02351038
7,17,203.04105530
7,18,186.88404763
7,19,196.93808981
7,20,209.41743811
8,1,220.10343780
8,2,191.31537640
8,3,179.52883421
8,4,201.50250900
8,5,203.44384177
8,6,248.83448802
8,7,311.26827001
8,8,321.50585635
8,9,310.07074669
8,10,266.78511331
8,11,303.79075774
8,12,292.08085107
8,13,303.50643512
8,14,317.25139719
8,15,237.80567376
8,16,247.41711724
8,17,207.48866431
8,18,224.52796796
8,19,203.31952462
8,20,235.10504307
9,1,218.59480267
9,2,174.20884670
9,3,225.25024720
9,4,211.41547849
9,5,243.72935011
9,6,282.54324565
9,7,310.54544917
9,8,287.07074669
9,9,260.51734284
9,10,251.12992312
9,11,242.14185215
9,12,265.54281258
9,13,299.08769409
9,14,311.53858781
9,15,278.51567197
9,16,258.69795276
9,17,209.39603477
9,18,200.24628479
9,19,185.21274960
9,20,189.59736444
10,1,184.25120821
10,2,221.69756511
10,3,198.00832970
10,4,224.15457663
10,5,255.56966863
10,6,291.43433100
10,7,297.67941137
10,8,287.78511331
10,9,256.12992312
10,10,223.97198166
10,11,180.98809003
10,12,256.16575564
10,13,298.81351692
10,14,300.68031248
10,15,264.40898069
10,16,234.53639623
10,17,203.13211317
10,18,198.00244582
10,19,198.70112886
10,20,218.25422560
11,1,203.25136990
11,2,183.69777658
11,3,197.00793438
11,4,218.15283405
11,5,257.56661237
11,6,277.43146812
11,7,289.67949107
11,8,289.79075774
11,9,258.14185215
11,10,217.98809003
11,11,233.00419641
11,12,253.17767972
11,13,288.81915582
11,14,303.68038835
11,15,326.40611657
11,16,260.53334069
11,17,239.13037192
11,18,190.00205140
11,19,205.70134051
11,20,212.25438709
12,1,207.59521213
12,2,207.20953959
12,3,180.24944960
12,4,215.41096038
12,5,266.72071625
12,6,303.53394979
12,7,284.54240284
12,8,284.08085107
12,9,237.54281258
12,10,256.16575564
12,11,268.17767972
12,12,261.56827012
12,13,294.09778513
12,14,309.53553271
12,15,268.50637402
12,16,225.68932160
12,17,224.39152052
12,18,186.24548953
12,19,205.21344283
12,20,166.59777330
13,1,213.10385821
13,2,219.31659752
13,3,191.52854348
13,4,191.49716002
13,5,235.43163071
13,6,279.81838653
13,7,265.25614090
13,8,286.50643512
13,9,309.08769409
13,10,279.81351692
13,11,301.81915582
13,12,268.09778513
13,13,315.50700015
13,14,276.23926053
13,15,277.78957277
13,16,228.40491167
13,17,214.48332102
13,18,201.52768006
13,19,217.32074574
13,20,220.10546243
14,1,199.41729566
14,2,197.93589736
14,3,180.88292595
14,4,195.04424268
14,5,198.03036051
14,6,240.55172575
14,7,274.11928859
14,8,282.25139719
14,9,289.53858781
14,10,297.68031248
14,11,295.68038835
